Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,73.2,-51.6,270.0,top
C1,74.92,-54.8,180.0,top
C2,84.1,-55.6,90.0,top
C3,85.5,-57.2,180.0,top
C4,85.3,-49.2,180.0,top
C5,83.0875,-50.9,270.0,top
D1,81.0875,-50.9,270.0,top
J1,91.225,-54.02,90.0,top
J2,78.76,-61.7,90.0,bottom
J3,78.76,-46.8,90.0,bottom
J4,68.6,-54.23,0.0,top
R1,76.89,-51.8,0.0,top
R2,72.89,-54.3,0.0,top
R3,85.5,-55.3,0.0,top
R4,85.5,-52.8,0.0,top
R5,82.0875,-50.9,270.0,top
RESET1,73.0,-57.3,90.0,top
U1,79.7,-55.8,270.0,top
U2,84.9875,-51.0,0.0,top
